First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2017-06-01,2022-05-01,2143864.02,60077,3003400.24,1965,153643.96,282027.8,125597.78,18793.51,4608.95,41580.76,9110.3,11233.91,12215.12
2017-06-01,2037-05-01,1445991.78,33441,1798349.3,1960,105282.69,180649.26,75213.72,14200.86,0.0,32705.82,13001.24,0.0,0.0
2017-06-01,2037-05-01,2725017.88,94597,1653153.29,1959,230180.51,305261.44,71830.08,11574.56,0.0,39049.76,3869.46,381.04,0.0
2017-07-01,2037-06-01,4203448.93,95670,7554077.66,1976,509272.8,890801.66,417618.92,82308.66,0.0,51614.93,11441.55,25899.44,104574.43
2017-06-01,2027-05-01,872183.47,90008,1306139.1,1952,68206.1,101021.26,34641.78,7161.38,0.0,11057.87,3008.81,6592.98,0.0
2017-06-01,2027-05-01,0.0,33880,24082645.84,1974,1666131.85,3066170.22,1496367.63,264239.59,0.0,375640.94,115353.8,59710.69,336812.64
2017-08-01,2027-07-01,0.0,60626,4709823.88,1924,282140.84,492863.55,205040.33,60200.34,0.0,37734.66,14554.58,37718.41,15485.85
2017-05-01,2027-04-01,16920496.31,23669,23143456.92,1943,1397548.03,2448485.05,997905.35,219231.52,0.0,272436.4,34248.91,42082.6,170742.0
2017-08-01,2027-07-01,0.0,60615,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2037-04-01,5205981.06,10469,8135193.72,1928,524800.48,755106.65,234616.29,13022.55,0.0,106951.3,16319.27,33053.2,12581.4
2017-07-01,2027-06-01,0.0,75220,24512037.72,,1661996.61,2858842.68,1199708.39,212079.2,27258.47,271239.43,68107.55,176715.34,324420.83
2017-08-01,2037-07-01,0.0,10453,11827128.05,1927,980761.06,1023257.85,41206.75,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2027-07-01,0.0,29588,0.0,,1546498.91,2665352.82,1137170.49,174348.93,0.0,252707.93,66282.17,39615.2,237417.48
2017-05-01,2027-04-01,4194689.32,90660,22166046.44,1990,774570.36,1498421.13,759758.37,267650.57,0.0,120503.86,24170.57,15139.05,118101.45
2017-06-01,2024-05-01,5098190.36,36116,6432922.07,1979,593805.57,1433168.93,832880.43,175441.07,0.0,35249.25,19870.39,96315.77,248398.69
2017-01-01,2022-09-01,1451943.36,87106,Error,1976,826867.78,1290284.16,470802.45,124575.27,0.0,51440.63,35310.05,26791.71,156194.01
2017-07-01,2027-06-01,0.0,97045,2173225.88,1972,91098.52,228025.46,143102.74,35435.02,0.0,22345.92,3769.72,45591.08,18252.95
,,0.0,46107,1434633.02,1973,279324.2,299338.99,11958.82,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-14,2037-06-14,0.0,11221,4183184.39,1931,221507.78,298817.78,79184.7,4604.63,0.0,41450.46,8575.79,1760.54,4309.35
2017-05-01,2027-04-01,8333196.53,30168,10548441.61,1973,760372.23,1831944.64,1051518.03,323515.25,0.0,1997.75,3952.64,167941.02,372838.07
2017-08-01,2037-07-01,0.0,30117,4345473.76,1981,276935.4,653106.91,378846.44,70941.88,0.0,47364.03,28242.39,9905.73,62095.62
2017-07-01,2027-06-01,4288953.64,91403,11619004.48,1961,400324.9,735700.98,326571.95,37500.5,0.0,114605.81,21522.31,44851.8,64993.12
2017-07-01,2027-06-01,0.0,89104,16682687.11,1997,846942.39,1873920.76,1032541.1,297731.18,0.0,102626.34,37086.09,21311.07,373394.83
2017-06-01,2029-05-01,14055334.96,17603,17372355.7,2014,1096384.36,1882855.27,781898.65,111998.33,0.0,247044.41,32811.82,25161.54,164341.74
2017-05-01,2027-04-01,12252136.47,75220,19110393.01,1983,1350232.88,2309292.65,883033.46,135473.35,35832.3,211444.54,37465.18,34927.7,234133.49
2017-06-01,2024-05-01,47320454.04,11550,70704961.53,1965,3546210.41,5729700.58,2198261.29,168342.47,34149.57,866438.37,215329.77,273108.26,247554.74
2017-05-01,2027-04-01,9416055.92,41076,13737338.3,1992,954781.05,1810077.42,837807.18,156020.51,2956.88,74061.07,27868.25,155796.95,266794.01
2016-06-01,2024-03-01,4243965.37,78758,32992998.74,1984,2022005.18,4225084.24,2148738.96,237825.31,14022.46,606211.35,109740.35,410480.53,497128.25
2017-07-01,2027-06-01,24348456.39,01103,35179539.59,1874,2023643.04,3304076.2,1202251.57,179444.03,174848.59,280214.58,82768.98,217681.32,221314.99
2017-07-01,2024-06-01,0.0,10458,17217866.43,1928,604536.31,1364609.89,756187.02,101283.21,0.0,284403.48,69844.33,73473.76,55765.58
2017-07-08,2037-06-08,0.0,10805,8324477.94,1942,439738.22,671010.96,238841.8,25575.2,17874.9,83069.57,22615.06,44624.81,12256.25
2017-06-01,2024-05-01,8289278.53,36116,10247957.72,1973,728404.74,1752360.04,1076097.0,273914.36,0.0,34748.19,44159.5,218054.83,294342.41
2017-07-01,2024-06-01,0.0,19702,38274045.4,1974,2417656.04,3882812.6,1476377.14,144738.82,0.0,206880.35,88160.52,506868.03,438294.68
2017-07-01,2027-06-01,4790293.53,91423,10549439.78,2006,490516.55,639114.6,144574.08,27201.04,0.0,75771.09,9173.83,27492.25,0.0
,,0.0,27103,0.0,,884181.45,934362.56,37540.75,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2027-07-01,0.0,76112,14375537.19,1978,784520.15,1934721.26,1190959.31,144060.62,0.0,357476.44,60072.1,65774.51,303814.45
2017-07-01,2037-06-01,0.0,11233,1654906.05,1930,89770.53,130618.09,42308.71,5493.93,0.0,11818.21,4170.85,7424.59,3062.7
2017-07-01,2037-06-01,0.0,08033,4787318.49,1929,516794.2,528257.72,21792.12,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2037-07-01,0.0,11222,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,2024-06-03,0.0,68046,5953983.85,1971,466874.04,875845.78,390660.68,97830.61,18383.35,91335.71,60339.58,37059.7,56740.75
2017-07-01,2027-06-01,8726327.5,19104,13728355.81,1868,724851.5,935915.0,197933.07,49131.21,70399.89,33692.85,34983.92,9782.8,31194.59
2017-07-01,2037-06-01,6615757.54,90405,16682404.89,1973,573253.6,793131.04,199751.69,18753.06,210.28,99667.84,10523.17,6424.54,12329.67
2017-08-07,2037-07-07,0.0,11222,2607162.86,1930,99061.7,164482.41,60414.56,6138.46,0.0,18124.32,5713.2,9601.12,5355.64
2017-04-01,2027-03-01,1466071.74,60171,2311491.15,1972,211213.82,336628.18,116356.3,32264.58,1233.06,50237.12,8472.14,9105.38,0.0
